Location,Date,mean_salinity,SEM_salinity
BRB,2025-02-06,35,0
BRB,2025-02-21,38,0
BRB,2025-03-08,39,0
BRB,2025-03-23,34,0
BRB,2025-04-06,28,0
BRB,2025-04-22,35,0
KRM,2025-02-06,32.833333333333336,0.6009252125773317
KRM,2025-02-21,31,0.36514837167011077
KRM,2025-03-08,36.833333333333336,0.3073181485764296
KRM,2025-03-23,23,0.5773502691896258
KRM,2025-04-06,35.333333333333336,0.210818510677892
KRM,2025-04-22,37.333333333333336,0.6666666666666667
YHG,2025-02-06,35,0
YHG,2025-02-21,34,0
YHG,2025-03-08,33,0
YHG,2025-03-23,35,0
YHG,2025-04-06,30,0
YHG,2025-04-22,35,0
