Location,Sampling_date,Sampling_interval_day,Shannon_Diversity_Index,Count_total_points,Count_valid_points
BRB,2025-02-06,15,1.6053417549064928,600,600
BRB,2025-02-21,30,1.6738704491189909,600,595
BRB,2025-03-08,45,1.5749849189026441,600,600
BRB,2025-03-23,60,1.3980334739028626,600,600
BRB,2025-04-06,75,1.8136701508594024,600,600
BRB,2025-04-22,90,2.2285043164323035,600,600
KRM,2025-02-06,15,1.5947661370139856,600,599
KRM,2025-02-21,30,1.2117004411071788,600,600
KRM,2025-03-08,45,1.2822690017034823,600,600
KRM,2025-03-23,60,1.5550264299682715,600,600
KRM,2025-04-06,75,1.120843366057743,600,529
KRM,2025-04-22,90,1.8890565537768609,600,600
YHG,2025-02-06,15,1.63475892444401,600,600
YHG,2025-02-21,30,2.02449112246703,600,600
YHG,2025-03-08,45,1.4884286853628268,600,600
YHG,2025-03-23,60,1.2382578040947638,600,600
YHG,2025-04-06,75,1.988015274183723,600,587
YHG,2025-04-22,90,2.25729821493664,600,599
